"Classificação","Código do
Insumo","Descrição do Insumo","Unidade","Origem de Preço","AC","AL","AM","AP","BA","CE","DF","ES","GO","MA","MG","MS","MT","PA","PB","PE","PI","PR","RJ","RN","RO","RR","RS","SC","SE","SP","TO"
"MATERIAL","21128","ELETRODUTO EM ACO GALVANIZADO ELETROLITICO, LEVE, DIAMETRO 3/4"", PAREDE DE 0,90 MM","M","C","10.67","","","7.87","7.44","","8.08","7.53","8.31","8.33","12.66","7.91","11.78","9.27","8.97","","","10.81","9.5","7.78","","","12.3","16.44","5.85","8.24","6.13"
"MATERIAL","40400","ELETRODUTO FLEXIVEL PLANO EM PEAD, COR PRETA E LARANJA, DIAMETRO 25 MM","M","CR","","2.57","4.24","2.08","1.75","","1.7","2.11","1.36","1.97","1.35","2.16","1.61","2.23","2.26","","2.98","2.33","1.81","4.28","2.27","","2.63","1.34","1.96","1.68","1.85"
"MATERIAL","40401","ELETRODUTO FLEXIVEL PLANO EM PEAD, COR PRETA E LARANJA, DIAMETRO 32 MM","M","CR","","3.79","6.25","3.07","2.58","","2.5","3.11","2.0","2.9","1.99","3.19","2.37","3.29","3.33","","4.39","3.44","2.66","6.3","3.35","","3.88","1.98","2.88","2.48","2.73"
"MATERIAL","40402","ELETRODUTO FLEXIVEL PLANO EM PEAD, COR PRETA E LARANJA, DIAMETRO 40 MM","M","CR","","4.86","8.02","3.93","3.31","","3.21","3.99","2.57","3.72","2.55","4.09","3.04","4.22","4.28","","5.63","4.41","3.42","8.08","4.3","","4.98","2.54","3.7","3.18","3.51"
"MATERIAL","21137","ELETRODUTO FLEXIVEL, EM FITA DE ACO GALVANIZADO, REVESTIDO COM PVC PRETO, DIAMETRO EXTERNO DE 15 MM, DN = 3/8"", TIPO SEALTUBO","M","CR","10.92","","","8.05","7.61","","8.27","7.7","8.5","8.52","12.96","8.09","12.06","9.49","9.18","","","11.06","9.72","7.96","","","12.59","16.83","5.98","8.43","6.27"
"MATERIAL","2504","ELETRODUTO FLEXIVEL, EM FITA DE ACO GALVANIZADO, REVESTIDO COM PVC PRETO, DIAMETRO EXTERNO DE 25 MM, DN = 3/4"", TIPO SEALTUBO","M","CR","11.84","","","8.73","8.25","","8.96","8.35","9.22","9.24","14.05","8.77","13.07","10.28","9.95","","","11.99","10.54","8.63","","","13.65","18.24","6.49","9.14","6.8"
"MATERIAL","2501","ELETRODUTO FLEXIVEL, EM FITA DE ACO GALVANIZADO, REVESTIDO COM PVC PRETO, DIAMETRO EXTERNO DE 32 MM, DN = 1"", TIPO SEALTUBO","M","CR","15.52","","","11.45","10.82","","11.75","10.95","12.09","12.12","18.42","11.51","17.14","13.49","13.05","","","15.73","13.82","11.32","","","17.9","23.92","8.51","11.99","8.92"
"MATERIAL","2502","ELETRODUTO FLEXIVEL, EM FITA DE ACO GALVANIZADO, REVESTIDO COM PVC PRETO, DIAMETRO EXTERNO DE 40 MM, DN = 1 1/4"", TIPO SEALTUBO","M","CR","23.43","","","17.28","16.33","","17.74","16.53","18.24","18.29","27.8","17.36","25.86","20.35","19.69","","","23.73","20.86","17.08","","","27.0","36.1","12.84","18.09","13.46"
"MATERIAL","2503","ELETRODUTO FLEXIVEL, EM FITA DE ACO GALVANIZADO, REVESTIDO COM PVC PRETO, DIAMETRO EXTERNO DE 50 MM, DN = 1 1/2"", TIPO SEALTUBO","M","CR","30.15","","","22.24","21.02","","22.83","21.28","23.48","23.54","35.77","22.35","33.29","26.19","25.34","","","30.54","26.84","21.98","","","34.76","46.46","16.53","23.28","17.32"
"MATERIAL","2500","ELETRODUTO FLEXIVEL, EM FITA DE ACO GALVANIZADO, REVESTIDO COM PVC PRETO, DIAMETRO EXTERNO DE 60 MM, DN = 2"", TIPO SEALTUBO","M","CR","40.16","","","29.62","28.0","","30.41","28.34","31.28","31.35","47.65","29.77","44.34","34.89","33.76","","","40.69","35.76","29.28","","","46.29","61.88","22.02","31.01","23.07"
"MATERIAL","2505","ELETRODUTO FLEXIVEL, EM FITA DE ACO GALVANIZADO, REVESTIDO COM PVC PRETO, DIAMETRO EXTERNO DE 75 MM, DN = 2 1/2"", TIPO SEALTUBO","M","CR","62.59","","","46.16","43.64","","47.39","44.17","48.74","48.86","74.26","46.4","69.1","54.37","52.61","","","63.41","55.72","45.63","","","72.15","96.43","34.31","48.33","35.95"
"MATERIAL","12056","ELETRODUTO FLEXIVEL, EM FITA DE ACO GALVANIZADO, SEM REVESTIMENTO, DIAMETRO NOMINAL 1 1/2""","M","CR","25.29","","","18.65","17.63","","19.15","17.84","19.69","19.74","30.0","18.75","27.92","21.97","21.26","","","25.62","22.51","18.44","","","29.15","38.97","13.86","19.53","14.53"
"MATERIAL","12057","ELETRODUTO FLEXIVEL, EM FITA DE ACO GALVANIZADO, SEM REVESTIMENTO, DIAMETRO NOMINAL 1 1/4""","M","CR","21.48","","","15.84","14.98","","16.26","15.16","16.73","16.77","25.49","15.92","23.71","18.66","18.06","","","21.76","19.12","15.66","","","24.76","33.1","11.77","16.59","12.34"
"MATERIAL","12058","ELETRODUTO FLEXIVEL, EM FITA DE ACO GALVANIZADO, SEM REVESTIMENTO, DIAMETRO NOMINAL 1""","M","CR","13.39","","","9.87","9.33","","10.14","9.45","10.43","10.45","15.89","9.92","14.78","11.63","11.25","","","13.56","11.92","9.76","","","15.43","20.63","7.34","10.34","7.69"
"MATERIAL","12059","ELETRODUTO FLEXIVEL, EM FITA DE ACO GALVANIZADO, SEM REVESTIMENTO, DIAMETRO NOMINAL 1/2""","M","CR","7.53","","","5.56","5.25","","5.7","5.32","5.87","5.88","8.94","5.58","8.32","6.55","6.33","","","7.63","6.71","5.49","","","8.69","11.61","4.13","5.82","4.33"
"MATERIAL","12060","ELETRODUTO FLEXIVEL, EM FITA DE ACO GALVANIZADO, SEM REVESTIMENTO, DIAMETRO NOMINAL 2 1/2""","M","CR","55.81","","","41.16","38.91","","42.26","39.38","43.46","43.57","66.22","41.37","61.61","48.49","46.92","","","56.54","49.69","40.69","","","64.33","85.99","30.6","43.1","32.06"
"MATERIAL","12061","ELETRODUTO FLEXIVEL, EM FITA DE ACO GALVANIZADO, SEM REVESTIMENTO, DIAMETRO NOMINAL 2""","M","CR","34.08","","","25.13","23.76","","25.8","24.05","26.54","26.6","40.43","25.26","37.62","29.6","28.65","","","34.52","30.34","24.84","","","39.28","52.51","18.68","26.31","19.57"
"MATERIAL","12062","ELETRODUTO FLEXIVEL, EM FITA DE ACO GALVANIZADO, SEM REVESTIMENTO, DIAMETRO NOMINAL 3""","M","CR","62.84","","","46.35","43.82","","47.59","44.35","48.94","49.06","74.56","46.59","69.38","54.6","52.83","","","63.67","55.95","45.82","","","72.44","96.83","34.45","48.53","36.1"
"MATERIAL","2687","ELETRODUTO PVC FLEXIVEL CORRUGADO, COR AMARELA, DE 16 MM","M","CR","2.7","2.54","2.16","2.56","1.76","1.91","2.72","1.83","1.41","2.32","2.12","2.16","2.01","2.53","2.12","2.18","2.11","2.8","1.93","1.63","2.14","1.88","2.72","2.03","2.16","1.74","1.92"
"MATERIAL","2689","ELETRODUTO PVC FLEXIVEL CORRUGADO, COR AMARELA, DE 20 MM","M","CR","3.21","3.02","2.57","3.04","2.1","2.28","3.23","2.18","1.68","2.77","2.52","2.57","2.4","3.01","2.52","2.6","2.51","3.33","2.29","1.94","2.55","2.23","3.24","2.42","2.57","2.08","2.28"
"MATERIAL","2688","ELETRODUTO PVC FLEXIVEL CORRUGADO, COR AMARELA, DE 25 MM","M","CR","3.48","3.27","2.78","3.3","2.28","2.47","3.5","2.36","1.82","3.0","2.73","2.78","2.6","3.27","2.73","2.81","2.72","3.61","2.49","2.11","2.76","2.42","3.51","2.62","2.79","2.25","2.47"
"MATERIAL","2690","ELETRODUTO PVC FLEXIVEL CORRUGADO, COR AMARELA, DE 32 MM","M","CR","5.96","5.6","4.76","5.65","3.9","4.22","5.99","4.04","3.12","5.13","4.67","4.76","4.45","5.59","4.67","4.82","4.66","6.17","4.26","3.61","4.73","4.14","6.0","4.48","4.77","3.85","4.23"
"MATERIAL","39243","ELETRODUTO PVC FLEXIVEL CORRUGADO, REFORCADO, COR LARANJA, DE 20 MM, PARA LAJES E PISOS","M","CR","3.93","3.69","3.14","3.72","2.57","2.78","3.95","2.66","2.06","3.38","3.08","3.14","2.93","3.68","3.08","3.17","3.07","4.07","2.8","2.37","3.11","2.73","3.96","2.95","3.14","2.54","2.79"
"MATERIAL","39244","ELETRODUTO PVC FLEXIVEL CORRUGADO, REFORCADO, COR LARANJA, DE 25 MM, PARA LAJES E PISOS","M","CR","5.31","4.99","4.24","5.03","3.47","3.76","5.34","3.6","2.78","4.57","4.16","4.24","3.96","4.98","4.16","4.29","4.15","5.5","3.79","3.21","4.21","3.69","5.35","3.99","4.25","3.43","3.77"
"MATERIAL","39245","ELETRODUTO PVC FLEXIVEL CORRUGADO, REFORCADO, COR LARANJA, DE 32 MM, PARA LAJES E PISOS","M","CR","10.21","9.6","8.16","9.68","6.68","7.24","10.27","6.93","5.35","8.79","8.01","8.16","7.62","9.58","8.01","8.26","7.99","10.58","7.29","6.18","8.1","7.1","10.29","7.68","8.18","6.6","7.26"
"MATERIAL","39255","ELETRODUTO/CONDULETE DE PVC RIGIDO, LISO, COR CINZA, DE 1"", PARA INSTALACOES APARENTES (NBR 5410)","M","CR","28.27","26.57","22.58","26.78","18.49","20.03","28.43","19.18","14.82","24.34","22.16","22.58","21.1","26.52","22.16","22.85","22.11","29.28","20.19","17.11","22.43","19.66","28.48","21.26","22.64","18.28","20.09"
"MATERIAL","39254","ELETRODUTO/CONDULETE DE PVC RIGIDO, LISO, COR CINZA, DE 1/2"", PARA INSTALACOES APARENTES (NBR 5410)","M","CR","15.28","14.36","12.2","14.47","9.99","10.83","15.36","10.37","8.01","13.15","11.97","12.2","11.4","14.33","11.97","12.35","11.95","15.82","10.91","9.25","12.12","10.62","15.39","11.49","12.23","9.88","10.85"
"MATERIAL","39253","ELETRODUTO/CONDULETE DE PVC RIGIDO, LISO, COR CINZA, DE 3/4"", PARA INSTALACOES APARENTES (NBR 5410)","M","CR","19.47","18.3","15.55","18.45","12.74","13.8","19.58","13.21","10.21","16.76","15.26","15.55","14.53","18.26","15.26","15.74","15.22","20.17","13.91","11.78","15.44","13.54","19.62","14.64","15.59","12.59","13.83"
"MATERIAL","39246","ELETRODUTO/DUTO PEAD FLEXIVEL PAREDE SIMPLES, CORRUGACAO HELICOIDAL, COR PRETA, SEM ROSCA, DE 1 1/2"", CRC 680 N, PARA CABEAMENTO SUBTERRANEO (NBR 15715)","M","CR","","6.58","10.85","5.33","4.48","","4.35","5.4","3.48","5.03","3.45","5.54","4.12","5.71","5.79","","7.63","5.97","4.63","10.94","5.82","","6.74","3.44","5.01","4.31","4.75"
"MATERIAL","39247","ELETRODUTO/DUTO PEAD FLEXIVEL PAREDE SIMPLES, CORRUGACAO HELICOIDAL, COR PRETA, SEM ROSCA, DE 1 1/4"", CRC 680 N, PARA CABEAMENTO SUBTERRANEO (NBR 15715)","M","CR","","5.74","9.46","4.64","3.91","","3.79","4.7","3.03","4.39","3.01","4.83","3.59","4.98","5.05","","6.65","5.21","4.04","9.53","5.07","","5.88","3.0","4.37","3.76","4.14"
"MATERIAL","2446","ELETRODUTO/DUTO PEAD FLEXIVEL PAREDE SIMPLES, CORRUGACAO HELICOIDAL, COR PRETA, SEM ROSCA, DE 2"", CRC 680 N, PARA CABEAMENTO SUBTERRANEO (NBR 15715)","M","C","","9.45","15.58","7.65","6.44","","6.25","7.75","5.0","7.23","4.96","7.95","5.92","8.2","8.32","","10.95","8.58","6.65","15.7","8.36","","9.68","4.95","7.2","6.19","6.82"
"MATERIAL","2442","ELETRODUTO/DUTO PEAD FLEXIVEL PAREDE SIMPLES, CORRUGACAO HELICOIDAL, COR PRETA, SEM ROSCA, DE 3"", CRC 680 N, PARA CABEAMENTO SUBTERRANEO (NBR 15715)","M","CR","","13.24","21.83","10.72","9.02","","8.75","10.86","7.0","10.13","6.95","11.14","8.29","11.49","11.65","","15.34","12.02","9.31","22.0","11.71","","13.56","6.93","10.08","8.67","9.55"
"MATERIAL","39248","ELETRODUTO/DUTO PEAD FLEXIVEL PAREDE SIMPLES, CORRUGACAO HELICOIDAL, COR PRETA, SEM ROSCA, DE 4"", CRC 680 N, PARA CABEAMENTO SUBTERRANEO (NBR 15715)","M","CR","","18.45","30.42","14.94","12.57","","12.2","15.13","9.76","14.11","9.68","15.52","11.56","16.01","16.24","","21.38","16.75","12.98","30.66","16.32","","18.9","9.66","14.06","12.08","13.31"
"MAO DE OBRA","2438","ELETROTECNICO (HORISTA)","H","CR","27.05","28.6","42.56","26.31","31.19","32.93","30.04","35.41","28.89","24.84","37.69","25.42","30.07","23.5","23.79","23.82","28.28","36.43","34.06","26.21","28.12","30.2","30.92","45.21","29.2","40.42","27.01"
"MAO DE OBRA","40922","ELETROTECNICO (MENSALISTA)","MES","CR","4730.11","4994.84","7466.08","4571.09","5456.3","5788.31","5356.42","6217.12","5093.4","4376.64","6655.58","4444.72","5305.59","4072.61","4166.28","4171.02","4995.14","6393.43","5987.64","4579.38","4883.21","5262.94","5435.68","7926.19","5165.31","7083.05","4743.09"
"EQUIPAMENTO (AQUISIÇÃO)","36486","ELEVADOR DE CARGA A CABO, CABINE SEMI FECHADA 2,0 X 1,5 X 2,0 M, CAPACIDADE DE CARGA 1000 KG, TORRE 2,38 X 2,21 X 15 M, GUINCHO DE EMBREAGEM, FREIO DE SEGURANCA, LIMITADOR DE VELOCIDADE E CANCELA","UN","CR","","","","","","","","","","","","","","","","","","","","","","","70644.15","69813.29","","72198.99",""
"EQUIPAMENTO (AQUISIÇÃO)","37777","ELEVADOR DE CREMALHEIRA CABINE FECHADA 1,5 X 2,5 X 2,35 M (UMA POR TORRE), CAPACIDADE DE CARGA 1200 KG (15 PESSOAS), TORRE 24 M (16 MODULOS), FREIO DE SEGURANCA, LIMITADOR DE CARGA","UN","CR","","","","","","","","","","","","","","","","","","","","","","","332591.31","328679.62","","339911.48",""
"MATERIAL","44342","EMENDA INTERNA, TIPO U, BASE LISA, PARA ELETROCALHA, EM CHAPA DE ACO GALVANIZADO ESPESSURA #14, 700 X 50 MM (L X A)","UN","CR","","","","","","","","","","","29.97","","","","","","","","","","","","","","","23.14",""
"MATERIAL","44343","EMENDA INTERNA, TIPO U, BASE LISA, PARA ELETROCALHA, EM CHAPA DE ACO GALVANIZADO ESPESSURA #14, 800 X 50 MM (L X A)","UN","CR","","","","","","","","","","","32.47","","","","","","","","","","","","","","","25.07",""
"MATERIAL","44340","EMENDA INTERNA, TIPO U, BASE LISA, PARA ELETROCALHA, EM CHAPA DE ACO GALVANIZADO ESPESSURA #16, 500 X 50 MM (L X A)","UN","CR","","","","","","","","","","","21.18","","","","","","","","","","","","","","","16.35",""
"MATERIAL","44341","EMENDA INTERNA, TIPO U, BASE LISA, PARA ELETROCALHA, EM CHAPA DE ACO GALVANIZADO ESPESSURA #16, 600 X 50 MM (L X A)","UN","CR","","","","","","","","","","","24.51","","","","","","","","","","","","","","","18.92",""
"MATERIAL","44338","EMENDA INTERNA, TIPO U, BASE LISA, PARA ELETROCALHA, EM CHAPA DE ACO GALVANIZADO ESPESSURA #18, 300 X 50 MM (L X A)","UN","CR","","","","","","","","","","","12.13","","","","","","","","","","","","","","","9.36",""
"MATERIAL","44339","EMENDA INTERNA, TIPO U, BASE LISA, PARA ELETROCALHA, EM CHAPA DE ACO GALVANIZADO ESPESSURA #18, 400 X 50 MM (L X A)","UN","CR","","","","","","","","","","","14.18","","","","","","","","","","","","","","","10.95",""
"MATERIAL","44336","EMENDA INTERNA, TIPO U, BASE LISA, PARA ELETROCALHA, EM CHAPA DE ACO GALVANIZADO ESPESSURA #22, 100 X 50 MM (L X A)","UN","CR","","","","","","","","","","","4.13","","","","","","","","","","","","","","","3.18",""
"MATERIAL","41834","EMENDA INTERNA, TIPO U, BASE LISA, PARA ELETROCALHA, EM CHAPA DE ACO GALVANIZADO ESPESSURA #22, 125 X 50 MM (L X A)","UN","CR","","","","","","","","","","","5.2","","","","","","","","","","","","","","","4.02",""
"MATERIAL","44337","EMENDA INTERNA, TIPO U, BASE LISA, PARA ELETROCALHA, EM CHAPA DE ACO GALVANIZADO ESPESSURA #22, 150 X 50 MM (L X A)","UN","CR","","","","","","","","","","","5.2","","","","","","","","","","","","","","","4.02",""
"MATERIAL","43964","EMENDA INTERNA, TIPO U, BASE LISA, PARA ELETROCALHA, EM CHAPA DE ACO GALVANIZADO ESPESSURA #22, 200 X 50 MM (L X A)","UN","CR","","","","","","","","","","","5.49","","","","","","","","","","","","","","","4.24",""
"MATERIAL","44334","EMENDA INTERNA, TIPO U, BASE LISA, PARA ELETROCALHA, EM CHAPA DE ACO GALVANIZADO ESPESSURA #22, 250 X 50 MM (L X A)","UN","CR","","","","","","","","","","","6.94","","","","","","","","","","","","","","","5.36",""
"MATERIAL","44344","EMENDA INTERNA, TIPO U, BASE LISA, PARA ELETROCALHA, EM CHAPA DE ACO GALVANIZADO ESPESSURA #22, 50 X 50 MM (L X A)","UN","CR","","","","","","","","","","","3.71","","","","","","","","","","","","","","","2.86",""
"MATERIAL","44335","EMENDA INTERNA, TIPO U, BASE LISA, PARA ELETROCALHA, EM CHAPA DE ACO GALVANIZADO ESPESSURA #22, 75 X 50 MM (L X A)","UN","CR","","","","","","","","","","","4.0","","","","","","","","","","","","","","","3.09",""
"MATERIAL","12624","EMENDA PARA CALHA PLUVIAL, PVC, DIAMETRO ENTRE 119 E 170 MM, PARA DRENAGEM PLUVIAL PREDIAL","UN","CR","35.67","31.19","28.33","25.06","28.33","32.25","34.85","42.08","35.5","29.75","35.82","35.65","33.54","33.35","31.17","26.87","31.0","30.91","34.74","31.15","38.19","29.04","36.57","31.93","30.48","34.81","30.12"
"MATERIAL","517","EMULSAO ASFALTICA ANIONICA","L","CR","12.31","","","14.14","11.42","","7.82","","9.61","","8.71","","16.15","10.42","9.9","10.88","","9.65","10.26","10.7","14.02","9.58","10.19","10.49","","8.72",""
"MATERIAL","37534","EMULSAO EXPLOSIVA EM CARTUCHOS DE 1"" X 12"", DENSIDADE 1.15 G/CM3, INICIACAO ESPOLETA N. 8 / CORDEL","KG","CR","","","","","","","","","","","","","","","","","","","","","","","","","","19.66",""
"MATERIAL","37535","EMULSAO EXPLOSIVA EM CARTUCHOS DE 1"" X 24"", DENSIDADE 1.15 G/CM3, INICIACAO ESPOLETA N. 8 / CORDEL","KG","CR","","","","","","","","","","","","","","","","","","","","","","","","","","19.66",""
"MATERIAL","37533","EMULSAO EXPLOSIVA EM CARTUCHOS DE 1"" X 8"", DENSIDADE 1.15 G/CM3, INICIACAO ESPOLETA N. 8 / CORDEL","KG","CR","","","","","","","","","","","","","","","","","","","","","","","","","","19.66",""
"MATERIAL","37537","EMULSAO EXPLOSIVA EM CARTUCHOS DE 2 1/2"" X 24"", DENSIDADE 1.15 G/CM3, INICIACAO ESPOLETA N. 8 / CORDEL","KG","CR","","","","","","","","","","","","","","","","","","","","","","","","","","14.88",""
"MATERIAL","37536","EMULSAO EXPLOSIVA EM CARTUCHOS DE 2 1/4"" X 24"", DENSIDADE 1.15 G/CM3, INICIACAO ESPOLETA N. 8 / CORDEL","KG","CR","","","","","","","","","","","","","","","","","","","","","","","","","","14.88",""
"MATERIAL","37532","EMULSAO EXPLOSIVA EM CARTUCHOS DE 2"" X 24"", DENSIDADE 1.15 G/CM3, INICIACAO ESPOLETA N. 8 / CORDEL","KG","C","","","","","","","","","","","","","","","","","","","","","","","","","","14.88",""
"MAO DE OBRA","2696","ENCANADOR OU BOMBEIRO HIDRAULICO (HORISTA)","H","C","23.56","25.4","21.61","21.21","24.05","21.81","23.15","22.16","24.13","21.14","24.12","20.46","23.17","20.46","21.14","22.45","20.33","28.97","29.07","18.96","23.31","24.08","22.96","31.19","20.43","31.26","23.64"
"MAO DE OBRA","40928","ENCANADOR OU BOMBEIRO HIDRAULICO (MENSALISTA)","MES","CR","4116.66","4435.02","3790.66","3684.53","4205.51","3833.4","4126.08","3888.6","4252.48","3721.71","4258.84","3574.84","4086.92","3544.43","3699.33","3929.54","3587.7","5081.5","5111.4","3311.6","4045.0","4195.22","4034.27","5469.08","3612.75","5475.89","4148.14"
"MAO DE OBRA","4083","ENCARREGADO GERAL DE OBRAS (HORISTA)","H","C","36.5","25.4","40.31","24.59","37.22","25.61","23.15","40.53","33.61","28.01","65.21","26.79","29.99","22.67","22.57","41.07","31.85","40.93","48.91","37.81","26.55","33.84","71.04","34.49","34.7","46.11","27.83"
"MAO DE OBRA","40818","ENCARREGADO GERAL DE OBRAS (MENSALISTA)","MES","CR","6377.08","4435.02","7071.91","4271.98","6507.99","4502.55","4126.08","7111.35","5922.57","4931.08","11509.99","4680.64","5288.96","3926.09","3949.69","7189.18","5620.6","7180.14","8597.64","6604.42","4606.59","5894.46","12480.44","6047.36","6134.57","8076.1","4883.86"
"MATERIAL","43146","ENDURECEDOR MINERAL DE BASE CIMENTICIA PARA PISO DE CONCRETO","KG","CR","12.54","12.36","","11.91","8.59","10.32","11.51","8.07","8.96","11.01","7.92","8.8","10.32","10.19","11.06","9.72","13.74","8.17","9.43","9.49","11.17","9.65","8.6","8.27","11.93","8.55","12.57"
"ESPECIAIS","2705","ENERGIA ELETRICA ATE 2000 KWH INDUSTRIAL, SEM DEMANDA","KWH","CR","1.09","1.0","0.98","1.01","1.09","1.01","0.72","0.95","1.06","0.96","1.17","1.08","1.07","1.18","0.75","1.0","1.1","0.85","1.14","0.96","1.6","0.98","1.01","0.85","0.94","0.87","1.22"
"ESPECIAIS","14250","ENERGIA ELETRICA COMERCIAL, BAIXA TENSAO, RELATIVA AO CONSUMO DE ATE 100 KWH, INCLUINDO ICMS, PIS/PASEP E COFINS","KWH","C","1.11","1.02","1.0","1.03","1.11","1.03","0.74","0.97","1.08","0.98","1.19","1.1","1.09","1.2","0.77","1.02","1.12","0.87","1.16","0.98","1.63","1.0","1.03","0.87","0.96","0.89","1.24"
"MATERIAL","11683","ENGATE / RABICHO FLEXIVEL INOX 1/2"" X 30 CM","UN","CR","34.02","","","49.99","34.1","53.87","32.77","50.11","49.86","57.2","50.45","76.48","43.55","36.84","","56.75","47.19","61.89","46.69","63.94","47.18","52.74","72.09","43.55","51.48","45.63",""
"MATERIAL","11684","ENGATE / RABICHO FLEXIVEL INOX 1/2"" X 40 CM","UN","CR","37.24","","","54.72","37.33","58.96","35.87","54.84","54.58","62.61","55.22","83.71","47.67","40.32","","62.12","51.66","67.75","51.1","69.99","51.65","57.73","78.91","47.66","56.35","49.95",""
"MATERIAL","6141","ENGATE/RABICHO FLEXIVEL PLASTICO (PVC OU ABS) BRANCO 1/2"" X 30 CM","UN","CR","5.02","4.84","5.81","6.2","4.87","5.59","5.11","5.11","4.84","6.11","6.65","6.02","8.16","5.44","5.38","4.53","4.98","5.38","7.8","4.3","5.75","5.14","6.47","5.14","4.84","6.59","4.53"
"MATERIAL","11681","ENGATE/RABICHO FLEXIVEL PLASTICO (PVC OU ABS) BRANCO 1/2"" X 40 CM","UN","CR","6.33","6.1","7.32","7.82","6.15","7.06","6.44","6.44","6.1","7.7","8.39","7.59","10.29","6.86","6.79","5.72","6.28","6.79","9.84","5.42","7.25","6.48","8.16","6.48","6.1","8.31","5.72"
"MAO DE OBRA","2706","ENGENHEIRO CIVIL DE OBRA JUNIOR (HORISTA)","H","C","125.65","133.04","125.24","125.55","126.43","126.15","123.22","127.2","122.44","124.76","127.14","121.71","121.15","127.99","125.27","125.41","125.11","126.9","136.96","126.22","128.27","127.16","124.83","126.44","123.96","126.37","123.59"
"MAO DE OBRA","40811","ENGENHEIRO CIVIL DE OBRA JUNIOR (MENSALISTA)","MES","CR","21949.29","23223.08","21968.64","21806.07","22101.54","22172.51","21959.61","22315.73","21575.1","21959.61","22442.18","21264.14","21363.49","22162.19","21915.74","21949.29","22079.61","22257.67","24074.16","22046.06","22255.09","22146.7","21928.64","22167.35","21911.87","22133.8","21683.49"
"MAO DE OBRA","2707","ENGENHEIRO CIVIL DE OBRA PLENO (HORISTA)","H","CR","131.89","139.64","131.46","131.78","130.85","137.23","145.83","136.66","129.27","125.0","131.52","128.49","127.91","134.34","131.49","131.63","125.35","141.57","152.45","153.93","134.64","133.47","131.57","142.68","130.11","128.55","129.73"
"MAO DE OBRA","40813","ENGENHEIRO CIVIL DE OBRA PLENO (MENSALISTA)","MES","CR","23040.71","24377.83","23061.03","22890.37","22877.54","24122.31","25988.71","23975.03","22778.51","22003.52","23215.55","22450.2","22555.1","23264.2","23005.5","23040.71","22123.76","24831.32","26797.21","26891.29","23361.72","23247.95","23114.11","25014.61","23001.43","22515.91","22761.7"
"MAO DE OBRA","2708","ENGENHEIRO CIVIL DE OBRA SENIOR (HORISTA)","H","CR","157.47","166.72","135.02","157.34","144.64","160.2","205.17","159.78","154.16","168.77","164.52","153.23","152.53","160.39","156.99","157.17","147.6","156.37","170.09","165.06","160.75","159.36","144.79","144.66","155.34","180.07","154.89"
"MAO DE OBRA","40814","ENGENHEIRO CIVIL DE OBRA SENIOR (MENSALISTA)","MES","CR","27507.84","29104.21","23687.08","27328.34","25289.06","28157.46","36565.08","28033.72","27165.45","29708.89","29042.53","26773.91","26899.01","27774.65","27465.79","27507.84","26049.03","27428.69","29900.09","28831.34","27891.08","27755.25","25438.86","25363.58","27460.94","31540.2","27174.72"
"MATERIAL","38403","ENXADA ESTREITA, EM ACO, *25 X 23* CM, COM CABO DE MADEIRA DE *150* CM","UN","CR","74.48","57.79","","74.8","57.03","","71.53","65.75","73.28","70.6","81.13","57.79","78.9","","","60.68","125.18","48.12","","73.52","77.22","78.14","69.97","73.42","59.47","68.69","83.43"
"ENCARGOS COMPLEMENTARES","43482","EPI - FAMILIA ALMOXARIFE - HORISTA (ENCARGOS COMPLEMENTARES - COLETADO CAIXA)","H","C","0.81","0.81","0.81","0.81","0.81","0.81","0.81","0.81","0.81","0.81","0.81","0.81","0.81","0.81","0.81","0.81","0.81","0.81","0.81","0.81","0.81","0.81","0.81","0.81","0.81","0.81","0.81"
"ENCARGOS COMPLEMENTARES","43494","EPI - FAMILIA ALMOXARIFE - MENSALISTA (ENCARGOS COMPLEMENTARES - COLETADO CAIXA)","MES","C","153.54","153.54","153.54","153.54","153.54","153.54","153.54","153.54","153.54","153.54","153.54","153.54","153.54","153.54","153.54","153.54","153.54","153.54","153.54","153.54","153.54","153.54","153.54","153.54","153.54","153.54","153.54"
"ENCARGOS COMPLEMENTARES","43483","EPI - FAMILIA CARPINTEIRO DE FORMAS - HORISTA (ENCARGOS COMPLEMENTARES - COLETADO CAIXA)","H","C","1.43","1.43","1.43","1.43","1.43","1.43","1.43","1.43","1.43","1.43","1.43","1.43","1.43","1.43","1.43","1.43","1.43","1.43","1.43","1.43","1.43","1.43","1.43","1.43","1.43","1.43","1.43"
"ENCARGOS COMPLEMENTARES","43495","EPI - FAMILIA CARPINTEIRO DE FORMAS - MENSALISTA (ENCARGOS COMPLEMENTARES - COLETADO CAIXA)","MES","C","270.51","270.51","270.51","270.51","270.51","270.51","270.51","270.51","270.51","270.51","270.51","270.51","270.51","270.51","270.51","270.51","270.51","270.51","270.51","270.51","270.51","270.51","270.51","270.51","270.51","270.51","270.51"
"ENCARGOS COMPLEMENTARES","43484","EPI - FAMILIA ELETRICISTA - HORISTA (ENCARGOS COMPLEMENTARES - COLETADO CAIXA)","H","C","1.26","1.26","1.26","1.26","1.26","1.26","1.26","1.26","1.26","1.26","1.26","1.26","1.26","1.26","1.26","1.26","1.26","1.26","1.26","1.26","1.26","1.26","1.26","1.26","1.26","1.26","1.26"
